NL Hydro Financial and operating data ,,,,,,,,,,,,
Year ,Energy Sales ,Revenue ,Operating Costs ,Expenses,Profit For the Year ,Total Comprehensive income for the year ,Installed Generating capacity (rated megawatts),"Electric Energy generated, net (gigawatt hours) ",Peak electricity demand Churchill falls (megawatts),Peak electricity demand Hydro System  (megawatts),Peak electricity demand Island System (megawatts),Staffing Levels 
2024,874,1197,196,1752,42,39,,,,,,
2023,1285,1524,310,1246,619,608,,,,,,
2022,1327,1359,264,1130,580,642,,,,,,
2021,976,1013,230,941,72,,8034,39564,5408,1496,1642,1499
2020,913,930,211,1020,90,,7210,38347,5706,1516,1657,1485
2019,1016,1038,226,911,126,,7210,40863,5636,1651,1784,1592
2018,1005,1029,216,847,180,,7211,41761,5531,1503,1640,1566
2017,854,877,214,873,51,,7211,37254,5611,1540,1714,1528
